comparison,rel_month,estimate,se,p,ci_low,ci_high
NYC CBD vs Boston,-17,0.1804403575759137,0.07652458631805546,0.01837667938554705,0.030452168392524986,0.33042854675930244
NYC CBD vs Boston,-16,-0.3427424703681625,0.06382257952671046,7.863260202462908e-08,-0.46783472624051503,-0.21765021449581004
NYC CBD vs Boston,-15,-0.12674802582618305,0.04994912297107727,0.011163379061723511,-0.2246483068494945,-0.028847744802871597
NYC CBD vs Boston,-14,-0.4149934553076484,0.05985965543394765,4.126675694623104e-12,-0.5323183799581859,-0.297668530657111
NYC CBD vs Boston,-13,-0.4533656751236581,0.052095052373716096,3.2418604816653616e-18,-0.5554719777761417,-0.35125937247117456
NYC CBD vs Boston,-12,-0.08815717738212925,0.04510191224249199,0.05062773547370915,-0.17655692537741355,0.00024257061315505202
NYC CBD vs Boston,-11,-0.1187486756758509,0.051914939533348976,0.02217423532937531,-0.2205019571612149,-0.016995394190486915
NYC CBD vs Boston,-10,-0.12963310487883417,0.03715148031635546,0.0004842656217704235,-0.20245000629889087,-0.05681620345877747
NYC CBD vs Boston,-9,0.15601256838853006,0.04394145437628086,0.0003845521764090168,0.06988731781101958,0.24213781896604053
NYC CBD vs Boston,-8,-0.04757300290131994,0.047625630365350856,0.3178455702383022,-0.1409192384174076,0.045773232614767734
NYC CBD vs Boston,-7,0.2844503766856734,0.04669775522311161,1.1199234516321815e-09,0.19292277644837463,0.3759779769229722
NYC CBD vs Boston,-6,0.4121717641652567,0.06596570284508377,4.1501404940534595e-10,0.28287898658889254,0.5414645417416208
NYC CBD vs Boston,-5,0.4152991333793157,0.10704787252969632,0.00010464362158674634,0.2054853032211109,0.6251129635375204
NYC CBD vs Boston,-4,-0.17342422508921196,0.05929174747550294,0.003445334502037437,-0.28963605014119775,-0.05721240003722619
NYC CBD vs Boston,-3,0.21346283018285206,0.050360197540738956,2.2479675469225068e-05,0.1147568430030037,0.3121688173627004
NYC CBD vs Boston,-2,-0.06402199205436965,0.05721530604555573,0.2631545703481539,-0.1761639919036589,0.04812000779491958
