comparison,rel_month,estimate,se,p,ci_low,ci_high
NYC CBD vs Boston,-17,-0.13698176139248375,0.11014371047407776,0.21362327130660852,-0.3528634339216762,0.07889991113670866
NYC CBD vs Boston,-16,-0.629162558475036,0.09618281620663857,6.097828477257926e-11,-0.8176808782400475,-0.4406442387100244
NYC CBD vs Boston,-15,-0.4258357109663873,0.08806701729402991,1.3290505129181373e-06,-0.5984470648626858,-0.25322435707008867
NYC CBD vs Boston,-14,-0.6970408526564444,0.09338124644905976,8.364005540102737e-14,-0.8800680956966016,-0.5140136096162873
NYC CBD vs Boston,-13,-0.7332095299220462,0.08319617567346112,1.2181920110134832e-18,-0.89627403424203,-0.5701450256020625
NYC CBD vs Boston,-12,-0.38970766324967343,0.0855199672346766,5.190914270889561e-06,-0.5573267990296396,-0.2220885274697073
NYC CBD vs Boston,-11,-0.41841678402286675,0.08982318213468021,3.189442056235536e-06,-0.59447022100684,-0.24236334703889353
NYC CBD vs Boston,-10,-0.42863636007395023,0.08200694728447822,1.7244105077831594e-07,-0.5893699767515275,-0.26790274339637293
NYC CBD vs Boston,-9,-0.1598955970938185,0.08462007438568757,0.05881542435889647,-0.32575094288976614,0.0059597487021291196
NYC CBD vs Boston,-8,-0.35143935071200083,0.08474291791853593,3.366784009633807e-05,-0.5175354698323312,-0.1853432315916704
NYC CBD vs Boston,-7,-0.0378386384965026,0.0701469765370148,0.5895975125874824,-0.1753267125090516,0.09964943551604641
NYC CBD vs Boston,-6,0.08242242325684046,0.09012674774240143,0.3604453641283547,-0.09422600231826633,0.25907084883194725
NYC CBD vs Boston,-5,0.08519315117882509,0.11844847979419629,0.4719916710666069,-0.14696586921779964,0.3173521715754498
NYC CBD vs Boston,-4,-0.4691025727615043,0.06827441017938218,6.382478925029861e-12,-0.6029204167130934,-0.3352847288099152
NYC CBD vs Boston,-3,-0.10482214502349266,0.062186262780396545,0.0918698303727116,-0.22670722007306987,0.01706293002608457
NYC CBD vs Boston,-2,-0.3661041426760937,0.05743088040393252,1.8333166040441447e-10,-0.4786686682678014,-0.253539617084386
