comparison,rel_month,estimate,se,p,ci_low,ci_high
NYC treated vs NYC controls,-17,0.3426204296590636,0.053002123584350275,1.0178400569342167e-10,0.23873626743373705,0.4465045918843901
NYC treated vs NYC controls,-16,-0.43310667052601154,0.05452351463330907,1.9657993385607417e-15,-0.5399727592072974,-0.32624058184472576
NYC treated vs NYC controls,-15,-0.23381847314489324,0.033579557285846266,3.3281905776082056e-12,-0.2996344054251519,-0.16800254086463456
NYC treated vs NYC controls,-14,-0.1990785267980555,0.05247127198965459,0.00014821097746375774,-0.30192221989777845,-0.0962348336983325
NYC treated vs NYC controls,-13,-0.1129991421071192,0.02619080732557298,1.5999483826089463e-05,-0.16433312446524223,-0.06166515974899616
NYC treated vs NYC controls,-12,0.13694716187242484,0.02330381764054334,4.187842075307777e-09,0.0912716792969599,0.18262264444788978
NYC treated vs NYC controls,-11,0.16346943812143855,0.02351236499077682,3.5889908418491336e-12,0.11738520273951598,0.20955367350336113
NYC treated vs NYC controls,-10,0.06846309870993329,0.02253705417002222,0.0023831081511280806,0.02429047253668974,0.11263572488317684
NYC treated vs NYC controls,-9,0.09851006994236793,0.02948593183611298,0.0008350198772596249,0.040717643543586486,0.15630249634114937
NYC treated vs NYC controls,-8,-0.10245303732914444,0.028823042734858115,0.0003786219771298256,-0.15894620108946636,-0.045959873568822536
NYC treated vs NYC controls,-7,0.15785818731630988,0.02617279196903458,1.6256029393734364e-09,0.1065595150570021,0.20915685957561764
NYC treated vs NYC controls,-6,0.3694133149745569,0.05487747980520757,1.6780592816417696e-11,0.26185345455635006,0.4769731753927637
NYC treated vs NYC controls,-5,0.3895988918086045,0.05558884955533566,2.4074918323608708e-12,0.2806447466801466,0.49855303693706243
NYC treated vs NYC controls,-4,-0.28701511189266077,0.04088830308372929,2.226765401994435e-12,-0.3671561859367702,-0.20687403784855135
NYC treated vs NYC controls,-3,-0.12016726386645016,0.02711920741148811,9.376411616041752e-06,-0.17332091039296685,-0.06701361733993347
NYC treated vs NYC controls,-2,-0.14931588810962926,0.030895389319889065,1.3452422634571883e-06,-0.20987085117661183,-0.08876092504264668
