comparison,rel_month,estimate,se,p,ci_low,ci_high
NYC treated vs NYC controls,-17,0.40280738794589377,0.06518952128130762,6.450052386595399e-10,0.2750359262345309,0.5305788496572567
NYC treated vs NYC controls,-16,-0.32729992905185,0.05796786859050387,1.640042344149528e-08,-0.4409169514892376,-0.21368290661446243
NYC treated vs NYC controls,-15,-0.13978411981421174,0.04383959279565051,0.0014299520368564265,-0.22570972169368675,-0.05385851793473674
NYC treated vs NYC controls,-14,-0.10701390923644445,0.059628689475823775,0.07270605483936839,-0.22388614060905904,0.009858322136170147
NYC treated vs NYC controls,-13,-0.026053376021714852,0.02911733386813748,0.3709089633375475,-0.08312335040326431,0.03101659835983461
NYC treated vs NYC controls,-12,0.2091659044755962,0.04171830815942099,5.33744305551693e-07,0.12739802048313104,0.29093378846806134
NYC treated vs NYC controls,-11,0.23412546833837994,0.04383937448424721,9.267554555576622e-08,0.1482002943492554,0.32005064232750446
NYC treated vs NYC controls,-10,0.14471697362067948,0.041214868355569936,0.00044595316497098145,0.0639358316437624,0.22549811559759655
NYC treated vs NYC controls,-9,0.1729935547978993,0.0421575209239921,4.0693945316350614e-05,0.09036481378687478,0.2556222958089238
NYC treated vs NYC controls,-8,-0.01613423766283549,0.038962473398271136,0.6788031766190159,-0.09250068552344691,0.06023221019777593
NYC treated vs NYC controls,-7,0.22888799402409044,0.045590882270960496,5.154321588616008e-07,0.13952986477300788,0.318246123275173
NYC treated vs NYC controls,-6,0.42810727611838895,0.06573092510343319,7.365136832151553e-11,0.2992746629156599,0.5569398893211179
NYC treated vs NYC controls,-5,0.44702286180532896,0.06687719290434013,2.321343230777956e-11,0.3159435637128223,0.5781021598978356
NYC treated vs NYC controls,-4,-0.18981619450026482,0.046015126343903895,3.7060181487521023e-05,-0.28000584213431645,-0.0996265468662132
NYC treated vs NYC controls,-3,-0.03279914667686068,0.033330005172151164,0.3250797909485005,-0.09812595681427697,0.032527663460555606
NYC treated vs NYC controls,-2,-0.06023031214240437,0.032365803153660014,0.06275485644271726,-0.12366728632357799,0.0032066620387692576
