route_id,route_short_name,route_type,trip_type,direction_id,shape_id,valid_from,valid_to,in_effect,intersects_cbd,within_cbd,distance_to_cbd_km,shape_length_total,shape_length_in_cbd,share_length_in_cbd,high_share_in_cbd
B1,B1,Local,1,0,B10025,2025-01-05,2025-02-20,false,False,False,11.62217061104658,20399.88331317453,0.0,0.0,False
B1,B1,Local,1,0,B10026,2025-01-05,2025-02-20,false,False,False,8.810533545222084,35776.550169836686,0.0,0.0,False
B1,B1,School,11,0,B10053,2025-01-05,2025-02-20,false,False,False,14.152797074229014,8041.931700825206,0.0,0.0,False
B1,B1,Local,1,0,B10057,2025-01-05,2025-02-20,false,False,False,14.152797074229014,8158.625918132884,0.0,0.0,False
B1,B1,School,11,0,B10058,2025-01-05,2025-02-20,false,False,False,11.62217061104658,20283.189095866855,0.0,0.0,False
B1,B1,Local,1,1,B10052,2025-01-05,2025-02-20,false,False,False,8.704326144525142,35841.22181532182,0.0,0.0,False
B1,B1,Local,1,1,B10054,2025-01-05,2025-02-20,false,False,False,11.616946925778054,20239.42310197583,0.0,0.0,False
B1,B1,Local,1,1,B10055,2025-01-05,2025-02-20,false,False,False,14.152797074229014,7509.570770346834,0.0,0.0,False
B100,B100,School,11,0,B1000107,2025-01-05,2025-02-20,false,False,False,11.423197604863118,16835.465316573584,0.0,0.0,False
B100,B100,School,11,0,B1000108,2025-01-05,2025-02-20,false,False,False,11.290666712790996,19794.924876191562,0.0,0.0,False
B100,B100,Local,1,0,B1000120,2025-01-05,2025-02-20,false,False,False,11.055376054229615,22368.0509379246,0.0,0.0,False
B100,B100,School,11,0,B1000121,2025-01-05,2025-02-20,false,False,False,11.055376054229615,2652.861844690895,0.0,0.0,False
B100,B100,School,11,1,B1000077,2025-01-05,2025-02-20,false,False,False,10.956698059602177,6519.415870085491,0.0,0.0,False
B100,B100,School,11,1,B1000078,2025-01-05,2025-02-20,false,False,False,10.956698059602177,3374.9693771221328,0.0,0.0,False
B100,B100,Local,1,1,B1000113,2025-01-05,2025-02-20,false,False,False,10.956698059602177,23555.585352995044,0.0,0.0,False
B103,B103,Limited,12,0,B1030158,2025-01-05,2025-02-20,false,False,False,8.997986273948934,24500.844588850217,0.0,0.0,False
B103,B103,Limited,12,0,B1030178,2025-01-05,2025-02-20,false,False,False,1.1454571882302982,63337.673734723685,0.0,0.0,False
